Country_Region,Province_State,Confirmed,Recovered,Active,Deaths,Mortality,Date
Canada,Canada,1,0,1,0,0.0,01-25-2020
Canada,Ontario,1,0,1,0,0.0,01-25-2020
Canada,Canada,1,0,1,0,0.0,01-26-2020
Canada,Ontario,1,0,1,0,0.0,01-26-2020
Canada,Canada,2,0,2,0,0.0,01-27-2020
Canada,Ontario,2,0,2,0,0.0,01-27-2020
Canada,British Columbia,1,0,1,0,0.0,01-28-2020
Canada,Canada,3,0,3,0,0.0,01-28-2020
Canada,Ontario,2,0,2,0,0.0,01-28-2020
Canada,British Columbia,1,0,1,0,0.0,01-29-2020
Canada,Canada,3,0,3,0,0.0,01-29-2020
Canada,Ontario,2,0,2,0,0.0,01-29-2020
Canada,British Columbia,1,0,1,0,0.0,01-30-2020
Canada,Canada,3,0,3,0,0.0,01-30-2020
Canada,Ontario,2,0,2,0,0.0,01-30-2020
Canada,British Columbia,1,0,1,0,0.0,01-31-2020
Canada,Canada,4,0,4,0,0.0,01-31-2020
Canada,Ontario,3,0,3,0,0.0,01-31-2020
Canada,British Columbia,1,0,1,0,0.0,02-01-2020
Canada,Canada,4,0,4,0,0.0,02-01-2020
Canada,Ontario,3,0,3,0,0.0,02-01-2020
Canada,British Columbia,1,0,1,0,0.0,02-02-2020
Canada,Canada,4,0,4,0,0.0,02-02-2020
Canada,Ontario,3,0,3,0,0.0,02-02-2020
Canada,British Columbia,1,0,1,0,0.0,02-03-2020
Canada,Canada,4,0,4,0,0.0,02-03-2020
Canada,Ontario,3,0,3,0,0.0,02-03-2020
Canada,British Columbia,2,0,2,0,0.0,02-04-2020
Canada,Canada,5,0,5,0,0.0,02-04-2020
Canada,Ontario,3,0,3,0,0.0,02-04-2020
Canada,British Columbia,2,0,2,0,0.0,02-05-2020
Canada,Canada,5,0,5,0,0.0,02-05-2020
Canada,Ontario,3,0,3,0,0.0,02-05-2020
Canada,British Columbia,4,0,4,0,0.0,02-06-2020
Canada,Canada,7,0,7,0,0.0,02-06-2020
Canada,Ontario,3,0,3,0,0.0,02-06-2020
Canada,British Columbia,4,0,4,0,0.0,02-07-2020
Canada,Canada,7,0,7,0,0.0,02-07-2020
Canada,Ontario,3,0,3,0,0.0,02-07-2020
Canada,British Columbia,4,0,4,0,0.0,02-08-2020
Canada,Canada,7,0,7,0,0.0,02-08-2020
Canada,Ontario,3,0,3,0,0.0,02-08-2020
Canada,British Columbia,4,0,4,0,0.0,02-09-2020
Canada,Canada,7,0,7,0,0.0,02-09-2020
Canada,Ontario,3,0,3,0,0.0,02-09-2020
Canada,British Columbia,4,0,4,0,0.0,02-10-2020
Canada,Canada,7,0,7,0,0.0,02-10-2020
Canada,Ontario,3,0,3,0,0.0,02-10-2020
Canada,British Columbia,4,0,4,0,0.0,02-11-2020
Canada,Canada,7,0,7,0,0.0,02-11-2020
Canada,Ontario,3,0,3,0,0.0,02-11-2020
Canada,British Columbia,4,0,4,0,0.0,02-12-2020
Canada,Canada,7,1,6,0,0.0,02-12-2020
Canada,Ontario,3,1,2,0,0.0,02-12-2020
Canada,British Columbia,4,0,4,0,0.0,02-13-2020
Canada,Canada,7,1,6,0,0.0,02-13-2020
Canada,Ontario,3,1,2,0,0.0,02-13-2020
Canada,British Columbia,5,0,5,0,0.0,02-14-2020
Canada,Canada,8,1,7,0,0.0,02-14-2020
Canada,Ontario,3,1,2,0,0.0,02-14-2020
Canada,British Columbia,5,0,5,0,0.0,02-15-2020
Canada,Canada,8,1,7,0,0.0,02-15-2020
Canada,Ontario,3,1,2,0,0.0,02-15-2020
Canada,British Columbia,5,0,5,0,0.0,02-16-2020
Canada,Canada,8,1,7,0,0.0,02-16-2020
Canada,Ontario,3,1,2,0,0.0,02-16-2020
Canada,British Columbia,5,0,5,0,0.0,02-17-2020
Canada,Canada,8,1,7,0,0.0,02-17-2020
Canada,Ontario,3,1,2,0,0.0,02-17-2020
Canada,British Columbia,5,0,5,0,0.0,02-18-2020
Canada,Canada,8,1,7,0,0.0,02-18-2020
Canada,Ontario,3,1,2,0,0.0,02-18-2020
Canada,British Columbia,5,1,4,0,0.0,02-19-2020
Canada,Canada,8,2,6,0,0.0,02-19-2020
Canada,Ontario,3,1,2,0,0.0,02-19-2020
Canada,British Columbia,6,1,5,0,0.0,02-20-2020
Canada,Canada,9,3,6,0,0.0,02-20-2020
Canada,Ontario,3,2,1,0,0.0,02-20-2020
Canada,British Columbia,6,1,5,0,0.0,02-21-2020
Canada,Canada,9,4,5,0,0.0,02-21-2020
Canada,Ontario,3,3,0,0,0.0,02-21-2020
Canada,British Columbia,6,1,5,0,0.0,02-22-2020
Canada,Canada,9,4,5,0,0.0,02-22-2020
Canada,Ontario,3,3,0,0,0.0,02-22-2020
Canada,British Columbia,6,1,5,0,0.0,02-23-2020
Canada,Canada,10,4,6,0,0.0,02-23-2020
Canada,Ontario,4,3,1,0,0.0,02-23-2020
Canada,British Columbia,7,1,6,0,0.0,02-24-2020
Canada,Canada,11,4,7,0,0.0,02-24-2020
Canada,Ontario,4,3,1,0,0.0,02-24-2020
Canada,British Columbia,7,4,3,0,0.0,02-25-2020
Canada,Canada,11,7,4,0,0.0,02-25-2020
Canada,Ontario,4,3,1,0,0.0,02-25-2020
Canada,British Columbia,7,4,3,0,0.0,02-26-2020
Canada,Canada,12,7,5,0,0.0,02-26-2020
Canada,Ontario,5,3,2,0,0.0,02-26-2020
Canada,British Columbia,7,4,3,0,0.0,02-27-2020
Canada,Canada,14,7,7,0,0.0,02-27-2020
Canada,Ontario,6,3,3,0,0.0,02-27-2020
Canada,Quebec,1,0,1,0,0.0,02-27-2020
Canada,British Columbia,7,4,3,0,0.0,02-28-2020
Canada,Canada,16,7,9,0,0.0,02-28-2020
Canada,Ontario,8,3,5,0,0.0,02-28-2020
Canada,Quebec,1,0,1,0,0.0,02-28-2020
Canada,British Columbia,8,4,4,0,0.0,02-29-2020
Canada,Canada,20,7,13,0,0.0,02-29-2020
Canada,Ontario,11,3,8,0,0.0,02-29-2020
Canada,Quebec,1,0,1,0,0.0,02-29-2020
Canada,British Columbia,8,4,4,0,0.0,03-01-2020
Canada,Canada,24,7,17,0,0.0,03-01-2020
Canada,Ontario,15,3,12,0,0.0,03-01-2020
Canada,Quebec,1,0,1,0,0.0,03-01-2020
Canada,British Columbia,8,4,4,0,0.0,03-02-2020
Canada,Canada,24,7,17,0,0.0,03-02-2020
Canada,Ontario,15,3,12,0,0.0,03-02-2020
Canada,Quebec,1,0,1,0,0.0,03-02-2020
Canada,British Columbia,12,4,8,0,0.0,03-03-2020
Canada,Canada,33,7,26,0,0.0,03-03-2020
Canada,Ontario,20,3,17,0,0.0,03-03-2020
Canada,Quebec,1,0,1,0,0.0,03-03-2020
Canada,British Columbia,13,4,9,0,0.0,03-04-2020
Canada,Canada,34,7,27,0,0.0,03-04-2020
Canada,Ontario,20,3,17,0,0.0,03-04-2020
Canada,Quebec,1,0,1,0,0.0,03-04-2020
